PID, Clients, Delay (ms)
14659,8 Pubs and Subs ,2.23
14659,8 Pubs and Subs ,2.68
14660,8 Pubs and Subs ,6.25
14660,8 Pubs and Subs ,6.25
14660,8 Pubs and Subs ,7.00
14660,8 Pubs and Subs ,7.31
14662,8 Pubs and Subs ,1.01
14662,8 Pubs and Subs ,1.14
14662,8 Pubs and Subs ,1.52
14662,8 Pubs and Subs ,1.60
14661,8 Pubs and Subs ,3.16
14661,8 Pubs and Subs ,3.18
14661,8 Pubs and Subs ,3.15
14661,8 Pubs and Subs ,3.80
14664,8 Pubs and Subs ,0.42
14664,8 Pubs and Subs ,0.63
14664,8 Pubs and Subs ,0.65
14664,8 Pubs and Subs ,0.65
14663,8 Pubs and Subs ,0.53
14663,8 Pubs and Subs ,0.54
14663,8 Pubs and Subs ,1.07
14663,8 Pubs and Subs ,1.68
14665,8 Pubs and Subs ,4.81
14665,8 Pubs and Subs ,5.66
14665,8 Pubs and Subs ,6.37
14665,8 Pubs and Subs ,7.04
14666,8 Pubs and Subs ,1.37
14666,8 Pubs and Subs ,1.62
14666,8 Pubs and Subs ,1.69
14666,8 Pubs and Subs ,2.11
14667,8 Pubs and Subs ,0.77
14667,8 Pubs and Subs ,0.80
14667,8 Pubs and Subs ,0.83
14667,8 Pubs and Subs ,1.35
14668,8 Pubs and Subs ,0.47
14668,8 Pubs and Subs ,1.09
14668,8 Pubs and Subs ,1.75
14668,8 Pubs and Subs ,1.75
14669,8 Pubs and Subs ,0.53
14669,8 Pubs and Subs ,0.53
14669,8 Pubs and Subs ,0.55
14669,8 Pubs and Subs ,1.13
14670,8 Pubs and Subs ,0.60
14670,8 Pubs and Subs ,0.80
14670,8 Pubs and Subs ,0.97
14670,8 Pubs and Subs ,1.25
14671,8 Pubs and Subs ,0.42
14671,8 Pubs and Subs ,0.45
14671,8 Pubs and Subs ,0.76
14671,8 Pubs and Subs ,0.90
14672,8 Pubs and Subs ,0.46
14672,8 Pubs and Subs ,0.45
14672,8 Pubs and Subs ,1.01
14672,8 Pubs and Subs ,1.61
14673,8 Pubs and Subs ,2.21
14673,8 Pubs and Subs ,2.21
14673,8 Pubs and Subs ,2.55
14673,8 Pubs and Subs ,2.81
14674,8 Pubs and Subs ,0.54
14674,8 Pubs and Subs ,0.82
14674,8 Pubs and Subs ,1.45
14674,8 Pubs and Subs ,2.40
14675,8 Pubs and Subs ,0.42
14675,8 Pubs and Subs ,0.45
14675,8 Pubs and Subs ,0.87
14675,8 Pubs and Subs ,1.22
14676,8 Pubs and Subs ,0.35
14676,8 Pubs and Subs ,0.37
14676,8 Pubs and Subs ,0.40
14676,8 Pubs and Subs ,0.84
14678,8 Pubs and Subs ,1.48
14678,8 Pubs and Subs ,1.48
14678,8 Pubs and Subs ,1.47
14678,8 Pubs and Subs ,1.99
14677,8 Pubs and Subs ,0.76
14677,8 Pubs and Subs ,0.76
14677,8 Pubs and Subs ,1.33
14677,8 Pubs and Subs ,1.45
14679,8 Pubs and Subs ,0.45
14679,8 Pubs and Subs ,0.46
14679,8 Pubs and Subs ,0.54
14679,8 Pubs and Subs ,0.94
14682,8 Pubs and Subs ,0.43
14682,8 Pubs and Subs ,0.98
14682,8 Pubs and Subs ,1.50
14682,8 Pubs and Subs ,1.99
14681,8 Pubs and Subs ,7.66
14681,8 Pubs and Subs ,8.22
14681,8 Pubs and Subs ,9.59
14681,8 Pubs and Subs ,10.09
14680,8 Pubs and Subs ,1.75
14680,8 Pubs and Subs ,3.17
14680,8 Pubs and Subs ,3.17
14680,8 Pubs and Subs ,3.76
14683,8 Pubs and Subs ,0.68
14683,8 Pubs and Subs ,0.72
14683,8 Pubs and Subs ,0.95
14683,8 Pubs and Subs ,1.05
14686,8 Pubs and Subs ,0.40
14686,8 Pubs and Subs ,0.40
14686,8 Pubs and Subs ,0.93
14686,8 Pubs and Subs ,0.97
14685,8 Pubs and Subs ,2.03
14685,8 Pubs and Subs ,2.31
14685,8 Pubs and Subs ,2.60
14685,8 Pubs and Subs ,2.92
14684,8 Pubs and Subs ,1.94
14684,8 Pubs and Subs ,1.91
14684,8 Pubs and Subs ,1.91
14684,8 Pubs and Subs ,1.94
14688,8 Pubs and Subs ,0.41
14688,8 Pubs and Subs ,0.41
14688,8 Pubs and Subs ,0.89
14688,8 Pubs and Subs ,1.43
14690,8 Pubs and Subs ,1.76
14690,8 Pubs and Subs ,1.92
14690,8 Pubs and Subs ,2.22
14690,8 Pubs and Subs ,2.81
14689,8 Pubs and Subs ,1.28
14689,8 Pubs and Subs ,2.07
14689,8 Pubs and Subs ,2.80
14689,8 Pubs and Subs ,2.79
14691,8 Pubs and Subs ,2.35
14691,8 Pubs and Subs ,2.35
14691,8 Pubs and Subs ,2.73
14691,8 Pubs and Subs ,2.79
14692,8 Pubs and Subs ,1.71
14692,8 Pubs and Subs ,1.75
14692,8 Pubs and Subs ,1.75
14692,8 Pubs and Subs ,2.06
14694,8 Pubs and Subs ,1.72
14694,8 Pubs and Subs ,2.25
14694,8 Pubs and Subs ,2.69
14694,8 Pubs and Subs ,2.68
14693,8 Pubs and Subs ,0.62
14693,8 Pubs and Subs ,1.29
14693,8 Pubs and Subs ,1.90
14693,8 Pubs and Subs ,2.56
14695,8 Pubs and Subs ,0.39
14695,8 Pubs and Subs ,0.43
14695,8 Pubs and Subs ,0.90
14695,8 Pubs and Subs ,0.90
14696,8 Pubs and Subs ,0.40
14696,8 Pubs and Subs ,0.85
14696,8 Pubs and Subs ,1.22
14696,8 Pubs and Subs ,1.75
14697,8 Pubs and Subs ,0.39
14697,8 Pubs and Subs ,0.87
14697,8 Pubs and Subs ,1.32
14697,8 Pubs and Subs ,1.91
14698,8 Pubs and Subs ,0.62
14698,8 Pubs and Subs ,1.43
14698,8 Pubs and Subs ,1.42
14698,8 Pubs and Subs ,1.44
14699,8 Pubs and Subs ,1.05
14699,8 Pubs and Subs ,1.18
14699,8 Pubs and Subs ,1.39
14699,8 Pubs and Subs ,1.64
14700,8 Pubs and Subs ,0.61
14700,8 Pubs and Subs ,0.63
14700,8 Pubs and Subs ,0.83
14700,8 Pubs and Subs ,0.94
14701,8 Pubs and Subs ,0.44
14701,8 Pubs and Subs ,0.65
14701,8 Pubs and Subs ,0.73
14701,8 Pubs and Subs ,1.02
14702,8 Pubs and Subs ,0.42
14702,8 Pubs and Subs ,0.42
14702,8 Pubs and Subs ,0.44
14702,8 Pubs and Subs ,0.96
14703,8 Pubs and Subs ,0.34
14703,8 Pubs and Subs ,0.86
14703,8 Pubs and Subs ,1.58
14703,8 Pubs and Subs ,1.88
14704,8 Pubs and Subs ,0.41
14704,8 Pubs and Subs ,0.42
14704,8 Pubs and Subs ,0.56
14704,8 Pubs and Subs ,0.88
14705,8 Pubs and Subs ,0.94
14705,8 Pubs and Subs ,1.80
14705,8 Pubs and Subs ,2.76
14705,8 Pubs and Subs ,3.05
14706,8 Pubs and Subs ,0.68
14706,8 Pubs and Subs ,1.41
14706,8 Pubs and Subs ,1.41
14706,8 Pubs and Subs ,1.96
14707,8 Pubs and Subs ,0.49
14707,8 Pubs and Subs ,0.48
14707,8 Pubs and Subs ,0.50
14707,8 Pubs and Subs ,1.08
14709,8 Pubs and Subs ,0.47
14709,8 Pubs and Subs ,0.57
14709,8 Pubs and Subs ,0.88
14709,8 Pubs and Subs ,2.60
14708,8 Pubs and Subs ,1.50
14708,8 Pubs and Subs ,2.07
14708,8 Pubs and Subs ,2.37
14708,8 Pubs and Subs ,2.40
14710,8 Pubs and Subs ,1.09
14710,8 Pubs and Subs ,1.47
14710,8 Pubs and Subs ,1.63
14710,8 Pubs and Subs ,1.96
14711,8 Pubs and Subs ,1.13
14711,8 Pubs and Subs ,1.80
14711,8 Pubs and Subs ,2.30
14711,8 Pubs and Subs ,2.76
14712,8 Pubs and Subs ,0.50
14712,8 Pubs and Subs ,1.15
14712,8 Pubs and Subs ,1.82
14712,8 Pubs and Subs ,2.49
14713,8 Pubs and Subs ,0.71
14713,8 Pubs and Subs ,0.82
14713,8 Pubs and Subs ,1.61
14713,8 Pubs and Subs ,0.55
14714,8 Pubs and Subs ,0.52
14714,8 Pubs and Subs ,1.10
14714,8 Pubs and Subs ,1.71
14714,8 Pubs and Subs ,2.26
14715,8 Pubs and Subs ,0.42
14715,8 Pubs and Subs ,0.93
14715,8 Pubs and Subs ,0.93
14715,8 Pubs and Subs ,1.42
14716,8 Pubs and Subs ,0.42
14716,8 Pubs and Subs ,0.43
14716,8 Pubs and Subs ,0.42
