PID, Clients, Delay (ms)
24870,8 Pubs and Subs ,680.26
24866,8 Pubs and Subs ,998.88
24876,8 Pubs and Subs ,315.83
24874,8 Pubs and Subs ,388.71
24871,8 Pubs and Subs ,657.62
24867,8 Pubs and Subs ,1046.92
24877,8 Pubs and Subs ,289.52
24872,8 Pubs and Subs ,656.30
24876,8 Pubs and Subs ,470.79
24875,8 Pubs and Subs ,386.20
24868,8 Pubs and Subs ,995.49
24873,8 Pubs and Subs ,725.91
24869,8 Pubs and Subs ,975.94
24877,8 Pubs and Subs ,464.24
24879,8 Pubs and Subs ,298.89
24870,8 Pubs and Subs ,1021.32
24874,8 Pubs and Subs ,677.24
24871,8 Pubs and Subs ,992.64
24875,8 Pubs and Subs ,568.87
24876,8 Pubs and Subs ,737.15
24872,8 Pubs and Subs ,962.60
24878,8 Pubs and Subs ,434.61
24879,8 Pubs and Subs ,453.96
24877,8 Pubs and Subs ,674.03
24873,8 Pubs and Subs ,1025.08
24878,8 Pubs and Subs ,526.29
24875,8 Pubs and Subs ,742.83
24883,8 Pubs and Subs ,362.04
24874,8 Pubs and Subs ,937.97
24879,8 Pubs and Subs ,610.28
24876,8 Pubs and Subs ,956.38
24883,8 Pubs and Subs ,454.83
24878,8 Pubs and Subs ,648.13
24884,8 Pubs and Subs ,446.70
24877,8 Pubs and Subs ,893.59
24883,8 Pubs and Subs ,528.88
24884,8 Pubs and Subs ,521.44
24875,8 Pubs and Subs ,946.11
24884,8 Pubs and Subs ,550.31
24888,8 Pubs and Subs ,486.09
24879,8 Pubs and Subs ,802.18
24888,8 Pubs and Subs ,543.09
24888,8 Pubs and Subs ,542.48
24889,8 Pubs and Subs ,421.42
24878,8 Pubs and Subs ,834.37
24883,8 Pubs and Subs ,709.27
24889,8 Pubs and Subs ,492.85
24890,8 Pubs and Subs ,419.97
24889,8 Pubs and Subs ,496.79
24884,8 Pubs and Subs ,741.54
24890,8 Pubs and Subs ,515.58
24891,8 Pubs and Subs ,506.50
24888,8 Pubs and Subs ,725.18
24890,8 Pubs and Subs ,528.15
24889,8 Pubs and Subs ,656.07
24890,8 Pubs and Subs ,634.87
24891,8 Pubs and Subs ,652.27
24892,8 Pubs and Subs ,552.80
24891,8 Pubs and Subs ,680.40
24891,8 Pubs and Subs ,711.84
24892,8 Pubs and Subs ,642.40
24892,8 Pubs and Subs ,651.94
24893,8 Pubs and Subs ,433.30
24892,8 Pubs and Subs ,676.52
24893,8 Pubs and Subs ,486.78
24893,8 Pubs and Subs ,491.28
24893,8 Pubs and Subs ,511.53
24894,8 Pubs and Subs ,543.94
24894,8 Pubs and Subs ,547.11
24894,8 Pubs and Subs ,556.36
24894,8 Pubs and Subs ,563.18
24895,8 Pubs and Subs ,529.95
24895,8 Pubs and Subs ,542.76
24895,8 Pubs and Subs ,580.73
24895,8 Pubs and Subs ,585.00
24896,8 Pubs and Subs ,466.45
24896,8 Pubs and Subs ,477.60
24897,8 Pubs and Subs ,328.50
24897,8 Pubs and Subs ,339.72
24896,8 Pubs and Subs ,579.03
24896,8 Pubs and Subs ,582.18
24898,8 Pubs and Subs ,315.34
24898,8 Pubs and Subs ,330.21
24899,8 Pubs and Subs ,284.28
24897,8 Pubs and Subs ,459.39
24897,8 Pubs and Subs ,465.32
24899,8 Pubs and Subs ,305.23
24900,8 Pubs and Subs ,290.69
24898,8 Pubs and Subs ,452.96
24900,8 Pubs and Subs ,325.90
24898,8 Pubs and Subs ,472.98
24901,8 Pubs and Subs ,273.90
24899,8 Pubs and Subs ,440.79
24901,8 Pubs and Subs ,307.13
24899,8 Pubs and Subs ,457.29
24906,8 Pubs and Subs ,193.07
24900,8 Pubs and Subs ,472.62
24900,8 Pubs and Subs ,467.27
24906,8 Pubs and Subs ,237.80
24913,8 Pubs and Subs ,168.86
24901,8 Pubs and Subs ,454.68
24901,8 Pubs and Subs ,463.66
24913,8 Pubs and Subs ,246.97
24912,8 Pubs and Subs ,273.22
24906,8 Pubs and Subs ,394.77
24912,8 Pubs and Subs ,295.56
24906,8 Pubs and Subs ,416.35
24914,8 Pubs and Subs ,342.43
24914,8 Pubs and Subs ,352.86
24913,8 Pubs and Subs ,380.03
24913,8 Pubs and Subs ,405.60
24915,8 Pubs and Subs ,247.73
24915,8 Pubs and Subs ,251.56
24912,8 Pubs and Subs ,440.17
24912,8 Pubs and Subs ,479.25
24914,8 Pubs and Subs ,503.62
24916,8 Pubs and Subs ,258.18
24916,8 Pubs and Subs ,258.77
24914,8 Pubs and Subs ,552.00
24915,8 Pubs and Subs ,396.29
24917,8 Pubs and Subs ,235.14
24917,8 Pubs and Subs ,250.65
24915,8 Pubs and Subs ,458.60
24916,8 Pubs and Subs ,396.51
24918,8 Pubs and Subs ,280.53
24918,8 Pubs and Subs ,294.59
24916,8 Pubs and Subs ,467.62
24917,8 Pubs and Subs ,376.54
24919,8 Pubs and Subs ,227.24
24919,8 Pubs and Subs ,238.82
24920,8 Pubs and Subs ,215.30
24918,8 Pubs and Subs ,419.90
24920,8 Pubs and Subs ,247.02
24917,8 Pubs and Subs ,474.07
24919,8 Pubs and Subs ,370.70
24922,8 Pubs and Subs ,284.08
24922,8 Pubs and Subs ,301.55
24918,8 Pubs and Subs ,533.86
24920,8 Pubs and Subs ,369.95
24921,8 Pubs and Subs ,314.18
24921,8 Pubs and Subs ,322.88
24919,8 Pubs and Subs ,514.73
24922,8 Pubs and Subs ,419.72
24923,8 Pubs and Subs ,243.93
24923,8 Pubs and Subs ,267.22
24921,8 Pubs and Subs ,424.29
24920,8 Pubs and Subs ,523.76
24924,8 Pubs and Subs ,322.35
24923,8 Pubs and Subs ,343.57
24924,8 Pubs and Subs ,328.29
24922,8 Pubs and Subs ,585.87
24924,8 Pubs and Subs ,389.90
24928,8 Pubs and Subs ,300.44
24928,8 Pubs and Subs ,338.96
24921,8 Pubs and Subs ,606.09
24928,8 Pubs and Subs ,369.95
24925,8 Pubs and Subs ,378.31
24925,8 Pubs and Subs ,392.19
24923,8 Pubs and Subs ,530.75
24925,8 Pubs and Subs ,421.40
24930,8 Pubs and Subs ,361.56
24924,8 Pubs and Subs ,595.58
24930,8 Pubs and Subs ,390.61
24930,8 Pubs and Subs ,394.26
24931,8 Pubs and Subs ,417.52
24928,8 Pubs and Subs ,584.09
24931,8 Pubs and Subs ,448.66
24933,8 Pubs and Subs ,311.69
24931,8 Pubs and Subs ,497.70
24925,8 Pubs and Subs ,640.38
24933,8 Pubs and Subs ,336.42
24935,8 Pubs and Subs ,353.02
24930,8 Pubs and Subs ,596.03
24935,8 Pubs and Subs ,371.90
24933,8 Pubs and Subs ,417.51
24932,8 Pubs and Subs ,436.15
24931,8 Pubs and Subs ,649.18
24932,8 Pubs and Subs ,445.74
24935,8 Pubs and Subs ,480.91
24934,8 Pubs and Subs ,469.46
24933,8 Pubs and Subs ,540.64
24934,8 Pubs and Subs ,481.20
24935,8 Pubs and Subs ,586.91
24932,8 Pubs and Subs ,597.31
24936,8 Pubs and Subs ,382.38
24936,8 Pubs and Subs ,383.28
24932,8 Pubs and Subs ,650.03
24938,8 Pubs and Subs ,436.95
24938,8 Pubs and Subs ,438.82
24934,8 Pubs and Subs ,640.31
24934,8 Pubs and Subs ,701.70
24937,8 Pubs and Subs ,478.23
24937,8 Pubs and Subs ,486.66
24936,8 Pubs and Subs ,562.74
24936,8 Pubs and Subs ,612.47
24939,8 Pubs and Subs ,437.28
24939,8 Pubs and Subs ,449.68
24938,8 Pubs and Subs ,618.25
24938,8 Pubs and Subs ,668.95
24940,8 Pubs and Subs ,436.72
24940,8 Pubs and Subs ,451.26
24937,8 Pubs and Subs ,655.71
24937,8 Pubs and Subs ,703.49
24942,8 Pubs and Subs ,479.27
24942,8 Pubs and Subs ,496.08
24939,8 Pubs and Subs ,622.37
24941,8 Pubs and Subs ,561.44
24939,8 Pubs and Subs ,673.09
24941,8 Pubs and Subs ,579.75
24940,8 Pubs and Subs ,622.19
24943,8 Pubs and Subs ,482.80
24940,8 Pubs and Subs ,674.70
24943,8 Pubs and Subs ,508.71
24942,8 Pubs and Subs ,662.71
24945,8 Pubs and Subs ,464.29
24942,8 Pubs and Subs ,726.73
24945,8 Pubs and Subs ,496.23
24941,8 Pubs and Subs ,743.22
24944,8 Pubs and Subs ,481.21
24941,8 Pubs and Subs ,805.84
24943,8 Pubs and Subs ,660.01
24944,8 Pubs and Subs ,539.58
24946,8 Pubs and Subs ,521.60
24943,8 Pubs and Subs ,719.23
24945,8 Pubs and Subs ,624.59
24947,8 Pubs and Subs ,510.77
24946,8 Pubs and Subs ,595.81
24944,8 Pubs and Subs ,632.65
24945,8 Pubs and Subs ,686.75
24948,8 Pubs and Subs ,507.89
24946,8 Pubs and Subs ,694.37
24944,8 Pubs and Subs ,717.20
24949,8 Pubs and Subs ,437.56
24947,8 Pubs and Subs ,638.32
24951,8 Pubs and Subs ,426.54
24946,8 Pubs and Subs ,789.11
24947,8 Pubs and Subs ,717.87
24950,8 Pubs and Subs ,446.59
24948,8 Pubs and Subs ,676.13
24947,8 Pubs and Subs ,787.74
24948,8 Pubs and Subs ,720.41
24952,8 Pubs and Subs ,380.99
24949,8 Pubs and Subs ,651.60
24953,8 Pubs and Subs ,395.04
24948,8 Pubs and Subs ,800.96
24949,8 Pubs and Subs ,691.89
24954,8 Pubs and Subs ,412.21
24949,8 Pubs and Subs ,761.83
24951,8 Pubs and Subs ,705.65
24951,8 Pubs and Subs ,709.50
24955,8 Pubs and Subs ,368.95
24951,8 Pubs and Subs ,782.75
24950,8 Pubs and Subs ,752.47
24956,8 Pubs and Subs ,408.97
24950,8 Pubs and Subs ,764.00
24950,8 Pubs and Subs ,813.91
24952,8 Pubs and Subs ,715.24
24957,8 Pubs and Subs ,366.23
24952,8 Pubs and Subs ,747.78
24952,8 Pubs and Subs ,771.08
24953,8 Pubs and Subs ,761.10
24958,8 Pubs and Subs ,424.76
24953,8 Pubs and Subs ,795.72
24953,8 Pubs and Subs ,813.69
24959,8 Pubs and Subs ,390.12
24954,8 Pubs and Subs ,806.07
24954,8 Pubs and Subs ,833.86
24954,8 Pubs and Subs ,848.50
24960,8 Pubs and Subs ,472.59
24955,8 Pubs and Subs ,787.82
24955,8 Pubs and Subs ,813.40
24955,8 Pubs and Subs ,823.13
24961,8 Pubs and Subs ,420.05
24956,8 Pubs and Subs ,849.39
24956,8 Pubs and Subs ,858.06
24956,8 Pubs and Subs ,874.37
24962,8 Pubs and Subs ,449.38
24957,8 Pubs and Subs ,825.65
24957,8 Pubs and Subs ,835.27
24957,8 Pubs and Subs ,838.16
24963,8 Pubs and Subs ,466.45
24958,8 Pubs and Subs ,864.68
24958,8 Pubs and Subs ,877.15
24958,8 Pubs and Subs ,877.84
24964,8 Pubs and Subs ,491.28
24959,8 Pubs and Subs ,813.98
24959,8 Pubs and Subs ,826.48
24959,8 Pubs and Subs ,827.67
24965,8 Pubs and Subs ,508.29
24960,8 Pubs and Subs ,869.81
24960,8 Pubs and Subs ,890.88
24960,8 Pubs and Subs ,906.92
24966,8 Pubs and Subs ,413.29
24961,8 Pubs and Subs ,829.46
24961,8 Pubs and Subs ,839.26
24969,8 Pubs and Subs ,441.19
24961,8 Pubs and Subs ,903.77
24962,8 Pubs and Subs ,873.65
24967,8 Pubs and Subs ,474.39
24962,8 Pubs and Subs ,900.13
24963,8 Pubs and Subs ,903.40
24962,8 Pubs and Subs ,996.68
24963,8 Pubs and Subs ,931.83
24968,8 Pubs and Subs ,588.61
24964,8 Pubs and Subs ,979.79
24964,8 Pubs and Subs ,1007.31
24963,8 Pubs and Subs ,1050.51
24970,8 Pubs and Subs ,521.48
24964,8 Pubs and Subs ,1095.65
24965,8 Pubs and Subs ,1044.34
24965,8 Pubs and Subs ,1093.91
24965,8 Pubs and Subs ,1152.79
24972,8 Pubs and Subs ,656.33
24966,8 Pubs and Subs ,1001.66
24966,8 Pubs and Subs ,1023.00
24969,8 Pubs and Subs ,1066.95
24969,8 Pubs and Subs ,1098.13
24966,8 Pubs and Subs ,1142.50
24971,8 Pubs and Subs ,810.99
24967,8 Pubs and Subs ,1095.85
24968,8 Pubs and Subs ,1158.42
24969,8 Pubs and Subs ,1230.63
24967,8 Pubs and Subs ,1180.74
24973,8 Pubs and Subs ,917.07
24970,8 Pubs and Subs ,1049.78
24968,8 Pubs and Subs ,1309.42
24967,8 Pubs and Subs ,1347.74
24972,8 Pubs and Subs ,1108.20
24975,8 Pubs and Subs ,829.35
24971,8 Pubs and Subs ,1188.30
24970,8 Pubs and Subs ,1255.99
24968,8 Pubs and Subs ,1488.13
24974,8 Pubs and Subs ,914.11
24973,8 Pubs and Subs ,1270.84
24972,8 Pubs and Subs ,1344.49
24970,8 Pubs and Subs ,1391.99
24977,8 Pubs and Subs ,985.99
24975,8 Pubs and Subs ,1126.62
24971,8 Pubs and Subs ,1464.18
24976,8 Pubs and Subs ,1138.80
24972,8 Pubs and Subs ,1530.70
24974,8 Pubs and Subs ,1193.63
24973,8 Pubs and Subs ,1565.90
24979,8 Pubs and Subs ,987.46
24977,8 Pubs and Subs ,1250.58
24971,8 Pubs and Subs ,1642.22
24975,8 Pubs and Subs ,1416.25
24976,8 Pubs and Subs ,1362.95
24978,8 Pubs and Subs ,953.46
24974,8 Pubs and Subs ,1434.83
24973,8 Pubs and Subs ,1761.07
24980,8 Pubs and Subs ,944.73
24979,8 Pubs and Subs ,1203.29
24977,8 Pubs and Subs ,1529.22
24975,8 Pubs and Subs ,1697.77
24978,8 Pubs and Subs ,1183.61
24981,8 Pubs and Subs ,1096.68
