Clients, Delay (ms)
16 Pubs and Subs ,54877.10
16 Pubs and Subs ,54901.11
16 Pubs and Subs ,55242.43
16 Pubs and Subs ,55359.18
16 Pubs and Subs ,55401.54
16 Pubs and Subs ,55434.32
16 Pubs and Subs ,55452.80
16 Pubs and Subs ,55461.92
16 Pubs and Subs ,55466.86
16 Pubs and Subs ,55467.71
16 Pubs and Subs ,55473.19
16 Pubs and Subs ,55490.27
16 Pubs and Subs ,55485.61
16 Pubs and Subs ,55481.73
16 Pubs and Subs ,55531.96
16 Pubs and Subs ,55535.20
16 Pubs and Subs ,55547.44
16 Pubs and Subs ,55551.31
16 Pubs and Subs ,55550.54
16 Pubs and Subs ,55707.45
16 Pubs and Subs ,55783.19
16 Pubs and Subs ,55896.67
16 Pubs and Subs ,55946.87
16 Pubs and Subs ,55958.28
16 Pubs and Subs ,55976.02
16 Pubs and Subs ,55993.60
16 Pubs and Subs ,56008.11
16 Pubs and Subs ,56039.87
16 Pubs and Subs ,56055.16
16 Pubs and Subs ,56051.25
16 Pubs and Subs ,56055.54
16 Pubs and Subs ,56077.18
16 Pubs and Subs ,56081.31
16 Pubs and Subs ,56088.32
16 Pubs and Subs ,56085.60
16 Pubs and Subs ,56341.50
16 Pubs and Subs ,56379.75
16 Pubs and Subs ,56397.26
16 Pubs and Subs ,56402.40
16 Pubs and Subs ,56453.03
16 Pubs and Subs ,56414.95
16 Pubs and Subs ,56416.97
16 Pubs and Subs ,56463.00
16 Pubs and Subs ,56459.71
16 Pubs and Subs ,56428.04
16 Pubs and Subs ,56465.18
16 Pubs and Subs ,56475.65
16 Pubs and Subs ,56439.94
16 Pubs and Subs ,56447.56
16 Pubs and Subs ,56513.71
16 Pubs and Subs ,56475.63
16 Pubs and Subs ,56524.08
16 Pubs and Subs ,56567.00
16 Pubs and Subs ,56759.76
16 Pubs and Subs ,56598.91
16 Pubs and Subs ,56623.89
16 Pubs and Subs ,56624.90
16 Pubs and Subs ,56627.65
16 Pubs and Subs ,56632.43
16 Pubs and Subs ,56775.65
16 Pubs and Subs ,56813.54
16 Pubs and Subs ,56819.20
16 Pubs and Subs ,56784.43
16 Pubs and Subs ,56649.39
16 Pubs and Subs ,56858.27
16 Pubs and Subs ,56918.51
16 Pubs and Subs ,57072.36
16 Pubs and Subs ,57135.50
16 Pubs and Subs ,56960.21
16 Pubs and Subs ,56970.43
16 Pubs and Subs ,57126.29
16 Pubs and Subs ,57251.39
16 Pubs and Subs ,57242.99
16 Pubs and Subs ,57407.87
16 Pubs and Subs ,57411.94
16 Pubs and Subs ,57272.32
16 Pubs and Subs ,-2712.41
16 Pubs and Subs ,-2697.65
16 Pubs and Subs ,-2684.74
16 Pubs and Subs ,-2520.81
16 Pubs and Subs ,-2657.02
16 Pubs and Subs ,-2661.54
16 Pubs and Subs ,-2653.28
16 Pubs and Subs ,-2649.00
16 Pubs and Subs ,-2643.73
16 Pubs and Subs ,-2606.02
16 Pubs and Subs ,-2275.47
16 Pubs and Subs ,-2242.49
16 Pubs and Subs ,-2230.31
16 Pubs and Subs ,-2241.48
16 Pubs and Subs ,-2207.87
16 Pubs and Subs ,-2184.34
16 Pubs and Subs ,-2201.53
16 Pubs and Subs ,-2179.97
16 Pubs and Subs ,-2179.48
16 Pubs and Subs ,-2143.46
16 Pubs and Subs ,-2130.04
16 Pubs and Subs ,-2089.58
16 Pubs and Subs ,-2094.37
16 Pubs and Subs ,-2070.28
16 Pubs and Subs ,-2086.73
16 Pubs and Subs ,-2058.88
16 Pubs and Subs ,-2046.37
16 Pubs and Subs ,-1962.72
16 Pubs and Subs ,-1933.95
16 Pubs and Subs ,-1952.36
16 Pubs and Subs ,-1949.32
16 Pubs and Subs ,-1909.35
16 Pubs and Subs ,-1988.94
16 Pubs and Subs ,-1603.24
16 Pubs and Subs ,-1537.89
16 Pubs and Subs ,-1532.21
16 Pubs and Subs ,-1522.91
16 Pubs and Subs ,-1406.97
16 Pubs and Subs ,-1497.95
16 Pubs and Subs ,-1388.63
16 Pubs and Subs ,-1388.27
16 Pubs and Subs ,-1479.93
16 Pubs and Subs ,-1392.29
16 Pubs and Subs ,-1383.00
16 Pubs and Subs ,-1550.05
16 Pubs and Subs ,-1400.51
16 Pubs and Subs ,-1400.27
16 Pubs and Subs ,-1457.53
16 Pubs and Subs ,-1442.12
16 Pubs and Subs ,-1318.67
16 Pubs and Subs ,-1226.30
16 Pubs and Subs ,-1282.59
16 Pubs and Subs ,-1192.98
16 Pubs and Subs ,-1120.32
16 Pubs and Subs ,-1205.40
16 Pubs and Subs ,-976.24
16 Pubs and Subs ,-934.39
16 Pubs and Subs ,-1017.78
16 Pubs and Subs ,-952.00
16 Pubs and Subs ,-1097.53
16 Pubs and Subs ,-924.08
16 Pubs and Subs ,-943.91
16 Pubs and Subs ,-1005.01
16 Pubs and Subs ,-1090.07
16 Pubs and Subs ,-1086.12
16 Pubs and Subs ,-1050.57
16 Pubs and Subs ,-897.84
16 Pubs and Subs ,-863.29
16 Pubs and Subs ,-849.80
16 Pubs and Subs ,-803.03
16 Pubs and Subs ,-746.39
16 Pubs and Subs ,-692.70
16 Pubs and Subs ,-602.52
16 Pubs and Subs ,-592.92
16 Pubs and Subs ,-530.03
16 Pubs and Subs ,-667.20
16 Pubs and Subs ,-689.04
16 Pubs and Subs ,-503.04
16 Pubs and Subs ,-677.35
